 ,Label,Area1,Mean1,Min1,Max1,Median1,Area2,Mean2,Min2,Max2,Median2,Area3,Mean3,Min3,Max3,Median3,Area4,Mean4,Min4,Max4,Median4,Area5,Mean5,Min5,Max5,Median5,Area6,Mean6,Min6,Max6,Median6,Area7,Mean7,Min7,Max7,Median7,Area8,Mean8,Min8,Max8,Median8
403,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,17.871,9,31,17,0.433,22.692,5,39,22,0.516,38.935,16,79,34,0.478,59.130,0,187,41,0.466,24.045,5,71,18,0.433,16.817,7,28,17,0.287,8.391,1,15,8,0.478,16.139,8,25,16
404,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.414,5,37,18,0.433,22.538,13,35,22,0.516,39.863,17,86,34,0.478,57.878,4,180,42,0.466,24.554,7,74,17,0.433,17.356,7,32,17,0.287,8.275,1,15,8,0.478,15.678,6,26,15
405,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.629,9,35,18,0.433,23.567,13,41,24,0.516,39.669,15,87,35,0.478,57.313,8,189,41,0.466,25.509,7,80,19,0.433,16.769,8,35,16,0.287,7.942,1,15,8,0.478,16.304,6,27,16
406,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.586,6,43,17,0.433,22.529,12,35,22,0.516,38.089,13,76,33,0.478,52.374,5,173,38,0.466,24.848,6,67,19,0.433,16.913,7,33,17,0.287,8.014,2,15,8,0.478,16.174,8,26,16
407,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.229,10,35,19,0.433,22.106,10,36,22,0.516,39.145,14,91,34,0.478,52.922,3,170,35,0.466,25.268,4,72,20,0.433,16.125,6,31,16,0.287,8.000,0,15,8,0.478,16.591,7,25,17
408,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,20.243,7,39,20,0.433,22.481,10,34,23,0.516,38.798,13,82,34,0.478,45.443,5,164,27,0.466,25.125,6,76,19,0.433,16.529,7,30,16,0.287,7.710,0,15,8,0.478,16.539,8,24,17
409,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.271,8,36,18,0.433,21.558,11,36,22,0.516,37.734,14,88,32,0.478,37.122,5,130,20,0.466,23.857,5,66,18,0.433,16.394,7,28,16,0.287,7.159,1,14,7,0.478,15.626,5,26,16
410,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.500,6,42,17,0.433,21.673,13,36,22,0.516,39.129,15,79,34,0.478,41.217,7,140,27,0.466,24.643,7,75,19,0.433,16.452,7,27,16,0.287,9.058,2,20,9,0.478,15.948,7,23,16
411,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.514,8,42,18,0.433,21.260,10,31,22,0.516,36.621,13,84,34,0.478,59.730,10,200,40,0.466,23.438,6,70,17,0.433,15.981,7,28,16,0.287,8.072,1,13,8,0.478,16.383,9,24,17
412,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.329,5,39,18,0.433,21.346,11,33,22,0.516,38.089,14,76,34,0.478,57.400,9,214,35,0.466,24.875,5,69,18,0.433,16.385,7,26,17,0.287,8.377,2,15,9,0.478,16.617,8,28,16
413,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.329,8,40,18,0.433,21.702,11,34,22,0.516,38.702,12,89,34,0.478,58.313,9,200,35,0.466,26.482,9,73,20,0.433,16.558,5,33,16,0.287,7.913,3,17,7,0.478,15.330,8,29,15
414,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.371,8,38,17,0.433,20.981,8,31,21,0.516,38.516,14,82,34,0.478,56.922,10,191,36,0.466,25.545,7,77,19,0.433,15.375,5,28,16,0.287,8.000,1,16,8,0.478,16.939,7,29,17
415,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.829,8,34,18,0.433,21.510,12,35,21,0.516,38.726,15,78,35,0.478,65.104,5,219,43,0.466,24.580,5,69,18,0.433,16.413,7,29,16,0.287,8.362,2,20,8,0.478,16.609,5,24,17
416,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,20.000,9,40,19,0.433,21.038,11,35,20,0.516,37.629,14,78,34,0.478,59.470,9,214,41,0.466,25.277,7,70,20,0.433,15.740,4,30,16,0.287,7.986,1,14,7,0.478,16.583,10,23,17
417,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.657,8,38,18,0.433,21.894,10,32,22,0.516,37.556,12,74,34,0.478,58.687,7,205,41,0.466,25.732,7,83,20,0.433,16.606,9,27,16,0.287,7.362,0,16,7,0.478,16.739,6,27,17
418,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.029,9,38,19,0.433,21.346,8,34,21,0.516,37.968,15,81,35,0.478,50.809,7,188,29,0.466,25.616,7,73,20,0.433,16.538,7,28,16,0.287,8.261,2,15,8,0.478,16.713,6,30,16
419,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.929,5,38,19,0.433,21.606,9,36,22,0.516,38.694,16,75,36,0.478,45.426,6,165,27,0.466,25.607,6,77,19,0.433,16.413,5,27,16,0.287,7.551,1,12,8,0.478,15.939,7,30,15
420,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,20.557,10,36,20,0.433,22.567,9,39,22,0.516,37.185,12,78,35,0.478,51.930,8,187,30,0.466,26.438,6,72,20,0.433,16.115,6,32,16,0.287,7.652,0,14,8,0.478,16.730,8,28,17
421,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,22.743,11,41,23,0.433,21.808,8,34,21,0.516,37.508,10,72,35,0.478,52.991,6,175,33,0.466,25.036,6,69,20,0.433,16.173,8,29,16,0.287,7.739,3,14,7,0.478,15.722,7,26,16
422,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,21.400,10,41,20,0.433,22.519,14,34,22,0.516,38.250,13,67,35,0.478,49.687,5,179,30,0.466,25.696,5,77,18,0.433,15.885,6,26,16,0.287,7.855,3,16,8,0.478,15.374,8,23,15
423,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,20.757,7,36,20,0.433,21.212,11,38,21,0.516,36.476,12,71,35,0.478,49.548,7,182,28,0.466,25.295,7,70,19,0.433,15.913,7,30,15,0.287,7.623,0,18,8,0.478,16.313,7,26,16
424,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,22.114,11,36,21,0.433,22.375,11,35,22,0.516,36.815,13,62,36,0.478,48.939,5,177,27,0.466,26.348,7,76,21,0.433,16.731,4,31,16,0.287,7.014,1,16,7,0.478,16.539,8,25,16
425,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,21.214,10,38,20,0.433,21.615,6,33,22,0.516,36.581,13,69,35,0.478,43.461,6,170,21,0.466,27.277,7,78,21,0.433,16.087,2,30,16,0.287,7.348,2,16,7,0.478,16.600,9,24,17
426,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,20.586,10,36,20,0.433,20.692,10,39,21,0.516,37.855,14,84,34,0.478,43.296,4,164,21,0.466,27.759,5,77,21,0.433,16.885,5,32,16,0.287,8.116,0,18,8,0.478,16.261,4,26,17
427,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.157,9,41,19,0.433,21.385,10,35,21,0.516,36.097,9,67,32,0.478,46.409,6,168,26,0.466,28.696,8,86,22,0.433,16.721,6,33,16,0.287,8.971,2,20,9,0.478,16.217,9,28,16
428,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.443,8,35,20,0.433,22.154,10,38,22,0.516,37.145,19,76,34,0.478,53.713,6,186,32,0.466,27.795,10,76,21,0.433,16.221,8,28,16,0.287,9.391,3,20,9,0.478,16.139,8,25,16
429,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.943,8,39,19,0.433,22.192,9,35,21,0.516,36.871,16,78,34,0.478,54.548,7,180,31,0.466,28.071,5,84,22,0.433,16.260,4,32,15,0.287,9.188,2,22,9,0.478,16.357,7,26,16
430,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.071,9,37,19,0.433,22.837,11,36,23,0.516,36.629,13,71,33,0.478,65.209,7,220,41,0.466,26.973,9,74,19,0.433,16.490,8,31,16,0.287,7.754,2,14,7,0.478,15.200,8,24,15
431,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.429,8,32,18,0.433,21.154,10,36,21,0.516,36.185,15,70,33,0.478,64.383,7,238,39,0.466,27.571,9,75,21,0.433,15.712,5,31,16,0.287,8.275,1,17,8,0.478,15.748,6,28,16
432,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.014,8,36,17,0.433,21.673,11,32,23,0.516,36.395,14,71,33,0.478,62.374,4,216,40,0.466,27.455,7,86,19,0.433,15.721,6,28,16,0.287,8.899,0,17,9,0.478,15.678,9,33,15
433,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,20.071,7,34,19,0.433,21.423,13,41,21,0.516,36.766,11,73,34,0.478,63.148,6,219,45,0.466,27.027,8,90,21,0.433,16.125,6,29,16,0.287,8.261,3,13,8,0.478,15.339,6,22,16
434,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,20.614,10,35,20,0.433,21.644,12,35,21,0.516,35.637,17,73,33,0.478,66.052,9,231,47,0.466,27.429,5,73,21,0.433,15.981,8,32,16,0.287,7.725,1,17,8,0.478,15.383,5,25,15
435,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,21.643,12,32,21,0.433,21.519,8,33,21,0.516,35.774,13,64,34,0.478,64.843,10,222,45,0.466,27.411,6,73,23,0.433,15.567,6,26,15,0.287,8.304,2,15,8,0.478,15.496,8,24,16
